Ailes cassées
 0.0 60.0 4.49
Fibre de Lin
 0.0 11.4 10.98
Tissu Sombre
 44.0 19.9 49.91
Linceul
 10794.0 10899.6 11000.0
Etoffe de Kanigrou
 47.0 4.6 1.46
Etoffe du Mulou
 150.0 88.6 115.13
Etoffe de Ouassingue
 45.0 31.9 0.03944
Etoffe de Fant6éme Léopardo
 9600.0 11239.5 0.0
Etoffe de Fantéme Maho Firefoux
 940.0 999.9 759.99
Etoffe de Fantéme Pandikaze
 983.0 1296.8 1589.86
Etoffe de Fantéme Pandore
 33845.0 49999.5 0.0
Etoffe de Fantéme Pandule
 5493.0 5890.0 6499.99
Etoffe de Fant6me Soryo Firefoux
 3392.0 4450.0 0.0
Etoffe de Fantéme Tanukoui San
 889.0 599.9 0.0
Etoffe de Fantéme Yokai Firefoux
 87.0 99.1 194.97
Etoffe de Maitre Pandore
 192994.0 0.0 0.0
Etoffe de Pandule
 689.0 699.9 895.0
Etoffe des Héros
 8299.0 8444.2 0.0
Etoffe du Rat Blanc
 179.0 288.3 599.99
Etoffe du Rat Noir
 57.0 99.4 129.98
Etoffe du Wa Wabbit
 79990.0 89999.8 0.0
Etoffe de Meupette
 2189.0 2499.5 3499.99
Etoffe de Yokai Firefoux
 100.0 134.0 299.97
Etoffe Zoth
 88.0 44.4 44.2
Etoffe de Soryo Firefoux
 3106.0 3779.0 4979.59
Etoffe Corailleuse
 1199.0 0.0 0.0
Etoffe de Gourlo le Terrible
 2989.0 3444.4 0.0
Etoffe de Maho Firefoux
 8109.0 8999.4 10000.0
Etoffe du Meulou
 980.0 1940.0 0.0
Etoffe de Pandore
 74011.0 79999.9 0.0
Etoffe de Sphincter Cell
 1999.0 0.0 0.0
Etoffe du Roissingue
 1290.0 1250.0 1449.95
Etoffe Magique de Moon
 32952.0 0.0 0.0
Etoffe de Péki
 99999.0 99999.9 0.0
Etoffe Fantéme du Péki Garou
 123651.0 129999.7 0.0
Clochettes
 688.0 899.3 0.0
Fleur de Kaliptus
 98.0 20.0 4.75
Fleur de Lin
 0.0 10.0 9.69
Rose démoniaque coupée
 98.0 0.0 0.0
Fleur de Pissenlit Diabolique
 10.0 19.5 14.95
Pétale de Rose Démoniaque
 60.0 29.9 29.8
Fleur de Chanvre
 10.0 9.7 9.39
Pétale de Tournesol Sauvage
 39.0 38.5 36.5
Pétale de Trukikol
 107.0 108.0 109.94
Pétale Magique du Tournesol Affam
 219.0 300.0 0.0
Fleur de Bulbiflore
 0.0 5.9 5.99
Fleur de Blop Coco
 40.0 1.9 2.9
Fleur de Blop Griotte
 0.0 49.8 27.85
Fleur de Blop Indigo
 19.0 2.9 2.85
Fleur de Blop Reinette
 0.0 7.4 6.99
Pétale de Blop
 0.0 0.0 0.3
Fleur de Blopignon
 48.0 20.9 19.97
Orchidée Freyesque
 0.0 19.0 12.47
Pétale Kouracgao
 857.0 899.7 800.0
Pétale Malibout
 48.0 66.6 87.93
Pétale Morito
 44.0 198.2 173.95
Pétale Passaoh
 89.0 80.0 99.99
Fleur de Gloutovore
 142.0 124.4 139.76
Edelweiss
 0.0 59.9 14.78
Fleur de Gloutoblop
 0.0 103.5 17.89
Fleur de Blop Coco Royal
 1599.0 1799.8 0.0
Fleur de Blop Griotte Royal
 1280.0 1677.6 0.0
Fleur de Blop Indigo Royal
 1191.0 1799.5 0.0
Fleur de Blop Reinette Royal
 999.0 1499.8 0.0
Fleur de Blop Multicolore Royal
 0.0 19.4 0.0
Aubergine
 288.0 200.0 0.0
Bananagrume
 0.0 0.0 29.0
Cerise
 0.0 0.0 9.8
Citron
 0.0 9.5 9.39
Coque de Noix
 494.0 999.9 0.0
Citrouillette
 149.0 187.4 198.46
Fraise
 0.0 1.1 0.96
Fruit de Palme
 0.0 15.0 12.99
Noix de Kokoko
 99.0 28.9 32.97
Noix de Kokoko Traumatisée
 12384.0 24500.0 0.0
Gelée de Dégelée
 5982.0 6573.7 6499.99
Gelée Sbihaine
 0.0 3000.0 0.0
Gelée Bleutée
 449.0 29.9 0.03225
Gelée 4 la Menthe
 194.0 99.5 102.47
Gelée a la Fraise
 0.0 320.0 327.45
Gelée Citron
 448.0 8.7 1.03
Gelée Bleutée Royale
 4370.0 4599.7 4500.0
Gelée Menthe Royale
 58.0 88.9 133.29
Gelée Fraise Royale
 17.0 34.3 34.0
Gelée Citron Royale
 1491.0 3449.8 0.0
Graine de Lin
 0.0 0.0 39.98
Graine de Sésame
 14.0 9.7 8.24
Graine de Pavot
 39.0 38.6 42.92
Graine de Chanvre
 0.0 49.0 45.0
Graine de Tournesol sauvage
 10.0 8.5 9.89
Gland
 15.0 25.0 24.0
Noisette
 48.0 14.6 4.99
Noix de Cajou
 48.0 10.9 7.98
Noix de Pécan
 11.0 6.8 4.28
Graine de scorbute
 449.0 430.0 419.94
Graine de I'Abrakleur sombre
 187.0 0.0 16.39
Graine de Pandouille
 54.0 0.0 37.93
Laine du Boufcoul
 200.0 189.8 178.88
Laine de Boufton Blanc
 0.0 15.6 10.97
Laine de Boufton Noir
 0.0 3.7 1.29
Laine de Bouftou
 86.0 19.3 10.17
Laine du Chef de Guerre Bouftou
 33.0 15.0 9.88
Laine de Bouftou Royal
 896.0 1199.9 0.0
Laine du Trool Furieux
 9499.0 9939.8 12499.99
Laine du Minotoror
 1100.0 1243.7 1250.0
Laine du Minotot
 90.0 119.2 0.0
Feuille de Salace
 4999.0 9.6 4.35
Oignon
 0.0 49.2 4.0
Pomme de Terre
 120.0 179.7 0.0
Pommes de Terre épluchées
 40.0 17.3 0.0
Citrouille
 1393.0 1409.0 1399.99
Cawotte
 84.0 37.9 30.0
Oeil de Boufton
 35.0 32.0 37.0
Oeil de Crabe
 57.0 59.9 60.9
Oeil de Kwoan
 20.0 5.0 3.84
Oeil de Bouftou
 43.0 9.9 9.95
Oeil de Kolérat
 110.0 148.7 144.99
Oeil de Corbac
 92.0 47.7 47.77
Oeil du Milimulou
 73.0 68.9 66.31
Oeil d'Ouginak
 0.0 12.8 0.73
Oeil de Kanigrou
 1266.0 1234.5 1599.99
Oeil de Mulou
 0.0 7.8 6.39
Oeil de Champmane
 2221.0 2199.5 0.0
Oeil de Meulou
 3497.0 0.0 0.0
Oeuf pourri
 495.0 1889.4 0.0
Oeuf de Tofu
 75.0 17.6 14.23
Oeuf d'Arakne Majeure
 87.0 200.0 150.0
Oeuf de Dragoeuf Blanc
 3391.0 2999.9 3499.92
Oeuf de Dragoeuf de Saphir
 3384.0 3448.6 4200.0
Oeuf de Dragoeuf Doré
 46.0 19.3 22.99
Oeuf de Dragoeuf Noir
 62.0 49.9 99.95
Oreille de Kolérat
 50.0 19.4 6.7
Oreilles du Tiwabbit
 248.0 0.3993 339.0
Oreille de Porkass
 18.0 11.8 21.39
Oreilles de Loup
 75.0 48.8 66.38
Oreille de Cochon de Lait
 0.0 2.0 0.68
Oreille du Grand Pa Wabbit
 109.0 111.1 139.0
Oreille de Kanigrou
 43.0 9.9 3.65
Corne du Boufcoul
 0.0 29.2 5.86
Cubitus de Momie Koalak
 195.0 45.5 46.71
Fémur de Koalak Farouche
 15.0 119.7 0.0
Fémur du Minotoror
 13.0 65.0 77.58
Os de Mama Koalak
 99.0 299.8 0.0
Os de Pékeualak
 499.0 555.5 598.84
Os taillé
 849.0 2479.0 0.0
Tibia de Koalak Fossoyeur
 390.0 187.9 169.98
Dent du Tofu Maléfique
 12.0 1.6 1.85
Bec du Tofu
 0.0 7.3 7.14
Pince du Crabe
 33.0 9.5 7.99
Os de Trooll
 1500.0 0.0 0.0
Corne de Bouftou
 16.0 17.6 14.99
Sabot de Bouftou
 0.0 2.0 0.99
Dent de Serpentin
 587.0 599.7 500.0
Défense du Sanglier
 43.0 37.0 36.15
Dent Pointue
 0.0 0.0 0.95
Crane de chafer
 100.0 100.0 198.99
Dent de Karne
 0.0 3.8 1.82
Ongle de Chevaucheur de Karne
 199.0 69.9 48.97
Pic du Prespic
 50.0 36.0 34.4
Sabot de Chef de Guerre Bouftou
 301.0 338.8 359.94
Corne de Chef de Guerre Bouftou
 0.0 1.3 3.68
Croc Jaune
 0.0 8.0 1.49
Dent de Chef de Guerre Bouftou
 0.0 49.0 69.99
Dent de Dragodinde
 0.0 32.7 9.0
Dent de Wabbit
 0.0 1.0 2.5
Dent d'Ours
 254.0 280.0 0.0
Os d'Ours
 49.0 99.5 0.0
Os Invisible du Chafer Invisible
 375.0 0.0 0.0
Bec du Kwak de Flamme
 119.0 179.7 149.98
Bec du Kwak de Glace
 397.0 576.9 0.0
Bec du Kwak de Terre
 196.0 178.5 299.97
Bec du Kwak du Vent
 95.0 0.1899 199.86
Pic de Dragodinde
 397.0 239.7 249.0
Pic de Dragodinde Rousse Sauvage
 190.0 59.3 49.92
Dentier de Porkass
 0.0 2.0 2.0
Dent en Or du Craqueleur
 69.0 65.0 76.66
Cétes du Rib
 69.0 59.8 51.44
Machoire de Rib
 0.0 2.7 2.76
Colonne Vertébrale
 222.0 219.9 499.99
Fémur du Chafer Archer
 0.0 28.4 26.98
Os de Chafer
 38.0 50.0 54.97
Os Surprise du Chafer Fantassin
 2799.0 2899.9 0.0
Dent de Crocodaille
 0.0 5.8 5.29
Os de Crocodaille
 1669.0 1799.0 1770.0
Pince de Scorbute
 0.0 25.0 12.98
Coccyx du Corailleur
 398.0 479.3 399.98
Cétes de Porkass
 10.0 9.8 9.89
Ivoire
 45.0 29.9 19.48
Pince de Crustorail
 50.0 24.9 24.97
Dentier du Chafer d'élite
 21.0 49.0 49.9
Fragment d'Os
 681.0 698.5 680.0
Défense de Sanglier des Plaines
 0.0 3.2 3.47
Sabot de Sanglier des Plaines
 149.0 149.5 153.3
Corne de Dragoss Blanc
 3.275 3799.8 0.0
Corne de Dragoss de Saphire
 290.0 144.1 150.0
Corne de Dragoss Doré
 49.0 9.4 0.0
Corne de Dragoss Noir
 18.0 101.3 0.0
Crocs de Rats
 11.0 1.0 1.94
Dent magique de Cooleuvre
 19.0 139.9 149.99
Dents de Chef Crocodaille
 63.0 43.7 43.9
Canine du Mulou
 300.0 276.9 299.78
Corne de Dragoeuf Volant
 38.0 29.9 28.99
Corne de Dragueuse
 10.0 7.0 8.89
Crane de Chef Crocodaille
 4498.0 4897.5 0.0
Crane du Dragon Cochon
 15.0 40.0 34.0
Défense de Dragon Cochon
 677.0 598.7 588.99
Ongle de Kanigrou
 29.0 7.0 4.9
Vieil Os de Dragoeuf
 41980.0 43000.0 0.0
Bec du Kido
 48.0 50.0 90.0
Chicot du Flib
 0.0 3.9 1.85
Corne de Dragoeuf Guerrier
 141.0 79.8 0.0
Humerus du Sparo
 2000.0 1979.5 2400.0
Corne de Déminoboule
 43.0 0.0 3.88
Corne de Mominotor
 0.0 7.9 9.73
Cubitus du Rat Noir
 0.0 1.3 1.46
Dent de Rat Blanc
 97.0 110.1 499.96
Dent de Shin Larve
 23080.0 0.0 0.0
Os de Fantéme Léopardo
 189.0 199.9 299.97
Os de Fant6éme Maho Firefoux
 6656.0 6999.9 0.0
Os de Fantéme Pandikaze
 16994.0 17987.0 0.0
Os de Fantéme Pandore
 890.0 999.8 0.0
Os de Fant6éme Pandule
 13399.0 12000.0 17154.0
Os de Fantéme Soryo Firefoux
 17997.0 24499.9 25132.19
Os de Fant6éme Tanukoui San
 5200.0 6900.0 5555.55
Os de Fantéme Yokai Firefoux
 198.0 279.2 799.95
Rotule du Disciple Zoth
 2500.0 3000.0 3222.21
Tibia du Guerrier Zoth
 321.0 429.9 588.88
Corne Brilée du Minotoror
 555.0 542.2 947.76
Sabot du Minotoror
 46.0 79.7 99.9
Os de Chafer Maudit
 96.0 86.2 79.99
Sacrum magistral
 33.0 19.9 29.0
Canine de Démon
 533.0 499.4 339.94
Corne en Platine de Palidane
 51996.0 59999.9 0.0
Dents de Meulou
 125.0 139.6 179.8
Fémur de Sphincter Cell
 38.0 79.7 0.0
Corne brisée de Crocabulia
 186.0 888.4 0.0
Corne du Minotot
 488.0 599.9 0.0
Dent de Crocabulia
 85.0 49.5 133.33
Fémur du Minotot
 1980.0 3666.6 0.0
Sabot du Minotot
 2993.0 4999.3 0.0
Défense Maléfique
 996.0 2500.0 0.0
Ongle Désincarné de Qu'Tan
 0.0 14.6 9.99
Patte d'Arakne
 20.0 39.9 40.71
Patte d'Arakne Magique
 0.0 20.0 27.0
Patte d'ours
 150.0 228.9 199.99
Patte de Wabbit
 0.0 2.9 1.93
Papatte de Croc Gland
 194.0 200.0 180.0
Patte de Corbac
 0.0 1.4 0.9
Patte de Scorbute
 173.0 130.0 230.0
Patte d'Arakne Majeure
 0.0 0.0 0.0
Patte d'Araknawa
 10.0 8.9 17.9
Patte d'Araknawa
 10.0 8.9 17.9
Peau de Chevaucheur Koalak
 23932.0 24999.9 0.0
Peau de Drakoalak
 6600.0 6499.9 0.0
Peau de Koalak Immature
 395.0 497.9 0.0
Peau de Kraméléhon
 420.0 400.0 399.87
Peau de Mandrine
 200.0 34.0 16.93
Peau de Maitre Koalak
 594.0 535.0 699.98
Peau de Milimilou
 30.0 37.5 0.0
Peau de Minoskito
 400.0 250.0 308.87
Peau de Piralak
 2656.0 2765.9 2659.97
Peau de Larve Bleue
 69.0 40.0 44.99
Peau de Larve Verte
 27.0 16.5 15.99
Peau de Larve Verte Magique
 399.0 500.0 0.0
Peau de Larve Orange
 21.0 13.5 16.89
Ecaille poisseuse
 0.0 4.4 0.4
Peau de Mob I'Eponge
 2490.0 2499.8 0.0
Peau de serpentin
 200.0 239.0 256.98
Peau de Trukikol
 47.0 54.9 49.71
Peau de Gobelin
 693.0 994.4 999.99
Peau de Kitsou Nae
 0.0 18.9 22.83
Peau d'Ours
 298.0 329.1 0.0
Ecaille de Crocodaille
 61.0 13.0 13.94
Peau de Crocodaille
 684.0 887.1 920.0
Peau de Chaman d'Egoutant
 0.0 0.0 2.0
Peau de Léopardo
 20.0 3.0 2.28
Peau de Pandikaze
 44.0 9.7 8.47
Peau de Raul Mops
 5200.0 5499.7 0.0
Peau de Rat d'Egoutant
 10.0 0.0 12.87
Ecaille de Dragoss Blanc
 80.0 79.9 49.98
Ecaille de Dragoss de Saphire
 39.0 19.5 44.93
Ecaille de Dragoss Doré
 78.0 59.8 49.66
Ecaille de Dragoss Noir
 99.0 286.9 283.98
Peau de Cochon de Farle
 18.0 16.8 9.73
Peau de Don Dorgan
 55.0 0.0 9.85
Peau de Don Duss Ang
 89.0 21.9 26.98
Peau de Kitsou Nakwa
 369.0 9.9 12.95
Peau de Cooleuvre
 500.0 938.9 0.0
Ecaille de Chef Crocodaille
 100.0 215.9 219.93
Peau de Chef Crocodaille
 87.0 88.7 98.88
Peau de Dragoeuf Volant
 0.0 0.0 3.89
Peau de Dragueuse
 38.0 19.9 36.45
Peau de Kanigrou
 219.0 209.6 219.97
Peau de Dragoeuf Guerrier
 18.0 19.9 33.99
Peau de Kitsou Nere
 0.0 19.6 6.0
Peau de Tanukoui San
 12.0 3.4 0.0
Peau de Bworkette
 77.0 99.4 89.95
Peau de Maitre Pandore
 582.0 899.8 0.0
Peau de Pandule
 95.0 149.0 110.0
Peau de Rat Blanc
 2217.0 2599.7 0.0
Peau de Shin Larve
 8799.0 8888.6 0.0
Peau du Rat Noir
 20.0 29.4 53.98
Peau de Yokai Firefoux
 50.0 114.9 109.96
Peau de Kitsou Nufeu
 99.0 199.8 11.96
Peau de Soryo Firefoux
 1964.0 1966.9 1899.99
Peau de Maho Firefoux
 198.0 79.5 70.98
Peau Malodorante de Démon
 775.0 777.3 579.98
Peau de Moon
 1298.0 1749.9 0.0
Peau de Pandore
 1099.0 1249.5 1049.9
Peau de Sphincter Cell
 7593.0 7684.3 0.0
Peau du Rasboul Majeur
 6475.0 5999.9 0.0
Peau de Bworker
 98.0 149.0 249.9
Peau de Crocabulia
 15.0 27.9 19.99
Peau de Skeunk
 588997.0 0.0 0.0
Peau lacérée du Tynril
 689.0 649.3 648.99
Feuille de Kaliptus
 39.0 30.0 17.95
Herbe a chat
 444.0 499.8 0.0
Immortelle
 495.0 0.0 0.0
Orties
 500.0 499.0 0.0
Verveine
 398.0 0.0 0.0
Vieux Tréfle a 4 feuilles
 759.0 799.6 0.0
Langue du Pissenlit Diabolique
 28.0 10.0 4.0
Tige de Pissenlit Diabolique
 13.0 10.0 4.0
Herbe Folle
 50.0 34.8 9.9
Feuille de Tournesol Sauvage
 48.0 39.2 44.99
Tréfle a 5 feuilles
 37.0 4.8 3.97
Feuille de Fourbasse
 135.0 120.0 108.97
Feuille de Menthe Sauvage
 29.0 14.2 8.93
Feuille de Tronknyde
 48.0 12.1 11.0
Bulbe Kouragao
 0.0 2.9 3.2
Bulbe Malibout
 50.0 59.9 0.0
Bulbe Morito
 68.0 119.6 129.37
Bulbe Passaoh
 99.0 137.6 137.81
Feuille de Bulbuisson
 10.0 29.9 29.0
Feuille de Kokoko
 797.0 916.9 889.99
Feuille de Bambouto
 20.0 9.0 9.0
Pousses de Bulbambou
 0.0 5.9 6.49
Criniére fleurie
 1795.0 3999.0 0.0
Sépale de Nerbe
 0.0 7.3 9.96
Bractée de Chiendent
 24.0 19.0 0.91
Calice de Fécorce
 148.0 148.3 113.92
Carpelle de Brouture
 34.0 8.5 2.91
Etamine de Floribonde
 100.0 9.5 10.88
Feuille de Blop Royal
 1493.0 1898.9 2299.99
Feuille de Bambouto Sacré
 0.0 8.9 9.99
Feuille de Blop Multicolore Royal
 2998.0 3897.0 3400.0
Pistil du Tynril
 438.0 469.4 499.98
Plume de Buveur
 620.0 579.9 679.0
Plume de Corbac Apprivoisé
 997.0 999.7 1000.0
Plume de Piou Bleu
 15.0 99.8 135.39
Plume de Piou Jaune
 95.0 99.8 149.72
Plume de Piou Rose
 89.0 139.9 149.99
Plume de Piou Rouge
 50.0 154.6 149.93
Plume de Piou Vert
 99.0 99.3 129.98
Plume de Piou Violet
 40.0 99.8 154.45
Plume du Serpiplume
 0.0 10.0 7.99
Plume de Tofu Maléfique
 80.0 49.0 60.0
Plumes de Tofu
 42.0 16.9 8.88
Plume de Corbac
 0.0 4.9 7.75
Plume du Batofu
 950.0 0.0 0.0
Plume du Kwak de Flamme
 1598.0 1700.0 1500.0
Plume du Kwak de Glace
 184.0 199.9 149.99
Plume du Kwak de Terre
 391.0 299.7 439.99
Plume du Kwak de Vent
 397.0 499.3 498.9
Plume Pointue de Kwak du Vent
 79998.0 0.0 0.0
Plume du Dernier Poolay
 2000.0 2799.8 0.0
Plume Graisseuse du Tofu Ventripo
 89.0 89.1 88.99
Plume de fesse du Kido
 20.0 6.8 6.93
Plume de Tofu Royal
 5998.0 7198.7 0.0
Plume du Maitre Corbac
 20999.0 22199.9 0.0
Plume Vibrante du Tofu Royal
 114998.0 0.0 0.0
Plume nacrée d'Ilyzaelle
 69894.0 79499.9 0.0
Poil de Gamino
 48.0 48.9 42.47
Poil de Péki
 129.0 139.8 299.94
Poil de Renarbo
 640.0 687.1 599.99
Poils de Barbe du Warko Marron
 5555.0 5999.7 0.0
Poils de Barbe du Warko Violet
 12234.0 12949.3 0.0
Poils de Koalak Forestier
 699.0 799.8 985.53
Poils de Koalak Griotte
 40.0 279.7 0.0
Poils de Koalak Indigo
 449.0 599.9 0.0
Poils de Koalak Koko
 50.0 377.7 350.0
Poils de Koalak Reinette
 60.0 99.7 0.0
Poils de souris
 69.0 25.0 18.0
Poils de Black Tiwabbit
 350.0 309.9 299.95
Poils du Sanglier
 63.0 14.0 14.2
Poils Darits
 1196.0 1498.6 1299.99
Poils de Wabbit
 20.0 10.0 10.0
Poils de Crocs Glands
 78.0 54.7 1.99
Poils d'Ours
 418.0 0.0 0.0
Poils du Milimulou
 69.0 29.9 32.0
Poils de Barbe du Bwork Mage
 0.0 4.0 0.99
Poils de Kitsou Nae
 1487.0 1445.0 1390.0
Poils de Barbe du Grand Pa Wabbit
 65.0 68.6 87.5
Poils de Grand Pa Wabbit
 0.0 8.0 8.84
Poils de Wo Wabbit
 410.0 464.9 450.0
Poil de Chaman d'Egoutant
 19.0 17.0 15.0
Poil de Rat Bontarien
 235.0 299.1 328.0
Poil de Rat Brakmarien
 180.0 280.0 335.0
Poils de Pandikaze
 34.0 9.0 3.45
Poil de Rat d'Egoutant
 19.0 7.8 7.97
Poil de Sanglier des Plaines
 450.0 449.9 439.98
Poils de Leopardo
 52.0 66.7 63.5
Poil d'Ouginak
 46.0 19.0 26.64
Poils de Kitsou Nakwa
 330.0 339.6 349.97
Poil de Kanigrou
 40.0 19.0 26.98
Poils du Mulou
 88.0 95.9 39.96
Barbe inexistante du Barbroussa
 100.0 149.8 0.0
Duvet du Kilibriss
 88.0 20.9 28.98
Poils de Kitsou Nere
 991.0 1299.6 1290.0
Touffe rousse du Flib
 476.0 249.9 0.0
Poils de Tanukoui San
 1799.0 1977.6 1799.99
Poil de Bworkette
 47.0 20.0 36.69
Poil de Dragon Cochon
 74.0 19.9 26.48
Poil de Déminoboule
 89.0 0.0 0.0
Poil de Maitre Pandore
 488.0 329.8 329.99
Poil de Mominotor
 0.0 0.0 5.25
Poil du Wa Wabbit
 8800.0 8600.0 0.0
Poils de Yokai Firefoux
 50.0 12.9 11.72
Poils de Kitsou Nufeu
 827.0 789.6 950.0
Poils du Minotoror
 12.0 13.0 13.45
Poils de Soryo Firefoux
 0.0 1.9 0.95
Poils de Maho Firefoux
 39.0 9.2 8.77
Poils de Pandule
 24.0 20.0 21.9
Poils du Meulou
 85.0 19.3 20.96
Poils de Moon
 2381.0 2398.2 1650.0
Poils de Pandore
 55.0 69.9 89.88
Poil de Skeunk
 400.0 500.0 0.0
Perruque du Kimbo
 160.0 159.9 326.64
Blague de Soufre
 749.0 750.0 0.0
Hormone d'Atouin
 220.0 0.0 0.0
Hormone d'Ecureuil Chenapan
 399.0 0.0 0.0
Hormone d'Estok
 30.0 60.0 0.0
Hormone de Bilby
 1050.0 0.0 0.0
Hormone de Bouloute du Parrain
 0.0 0.0 0.0
Hormone de Bwak
 2000.0 0.0 0.0
Hormone de Bébé Pandawa
 0.0 0.0 0.0
Hormone de Chacha
 0.0 0.0 99.99
Hormone de Chacha Angora
 86.0 0.0 0.0
Hormone de Chacha Tigré
 0.0 69.9 0.0
Hormone de Chauffe-Souris
 80.0 0.0 0.0
Hormone de Chenapandi
 300.0 0.0 0.0
Hormone de Chercheur d'Ogrines
 45.0 0.0 0.0
Hormone de Crocodaille
 64.0 199.9 0.0
Hormone de Croum Aqueux
 395.0 0.0 0.0
Hormone de Croum Igné
 50.0 0.0 0.0
Hormone de Croum Volatile
 30.0 0.0 0.0
Hormone de Croum Végétal
 198.0 0.0 0.0
Hormone de Dragoune Dorée
 384.0 539.8 0.0
Hormone de Dragoune Noire
 0.0 0.0 0.0
Hormone de El Palador
 195.0 0.0 0.0
Hormone de Flibalak
 525.0 0.0 0.0
Hormone de Féanor
 118.0 0.0 0.0
Hormone de Gelutin
 23.0 0.0 0.0
Hormone de Glouton
 279.0 0.0 0.0
Hormone de Karne
 74.0 0.0 0.0
Hormone de Koalak Sanguin
 300.0 0.0 0.0
Hormone de Léopardo
 0.0 0.0 0.0
Hormone de Main de Cire
 0.0 0.0 0.0
Hormone de Marcassin
 0.0 29.8 29.99
Hormone de Meuch
 42.0 0.0 0.0
Hormone de Mini Wa
 200.0 240.0 0.0
Hormone de Miniduk
 0.0 0.0 0.0
Hormone de Miniminotot
 0.0 0.0 0.0
