Capignon, Etoffe de Ouassingue,60, Etoffe Zoth,26, Poil de Péki,21, Lamelle de Champbis,12, Etoffe de Meupette,9, Fémur du Minotot,2, Epine d'Ougah,2, Cape Houte,1
Caprin, Duvet du Kilibriss,80, Aile du Bitouf des plaines,52, Etoffe Zoth,40, Etamine de Floribonde,31, Oeil de Champmane,12, Langue du Champodonte,10, Epine d'Ougah,2, Peau du Rasboul Majeur,1
Capuche Souveraine du Roissingue, Etoffe de Ouassingue,210, Lingot d'Or,25, Cuir de Mominotor,15, Faux menton du Bourbassingue,11, Etoffe du Roissingue,11, Tourbe séchée de Tourbassingue,11, Culotte à l'envers du Roissingue,4, Pierre précieuse du Kimbo,1
Caracape Minotoris, Poil de Sanglier des Plaines,10, Plume du Kwak de Terre,10, Plume du Kwak de Vent,10, Poils de Grand Pa Wabbit,10, Queue de Minotoror,4, Poils du Minotoror,4, Laine du Minotoror,1, Cuir de Minotoror,1
Casque Dragoeuf, Ecaille de Dragoss Blanc,10, Dragocoiffe Blanche,1, Peau de Crocabulia,1, Dent de Crocabulia,1, Corne de Dragoeuf Guerrier,1, Corne de Dragoeuf Volant,1, Dragocoiffe noire,1, Dragocoiffe Dorée,1
Casque Harnage, Etoffe Zoth,50, Bave du Kaskargo,23, Os de Fantôme Pandikaze,22, Cloaque du Poolay,17, Etoffe de Fantôme Soryo Firefoux,15, Coco du Bitouf sombre,12, Peau de Bworker,4, Casque du Bwork de Bronze,1
Casque du Bitouf Aérien, Amygdales du Bitouf Sombre,51, Aile du Bitouf des plaines,51, Croupion du Bitouf aérien,51, Coco du Bitouf sombre,13, Coco du Bitouf des plaines,13, Coco du Bitouf aérien,13, Pierre précieuse du Kimbo,1, Ambre du Tynril,1
Casque du Bwork de Bronze, Corne de Chef de Guerre Bouftou,100, Corne du Boufcoul,10, Rutile,7, Tibia de Koalak Fossoyeur,3, Cubitus de Momie Koalak,3, Casque cassé de Bwork,1, Casque du Chef Bwork,1, Os de Fantôme Pandore,1
Casque du Guerrier Zoth, Etoffe Zoth,102, Rembourrage de Meupette,36, Tibia du Guerrier Zoth,14, Jus de Ouassingue,6, Kristalite,5, Ecorce de Nerbe,4, Faux menton du Bourbassingue,4, Ecorce du Tynril,1
Chapblopignon, Cloaque du Poolay,43, Croupion du Bitouf aérien,41, Etoffe Zoth,32, Fleur de Blopignon,20, Perruque du Kimbo,10, Tresse du Poolay,10, Etoffe de Fantôme Pandule,6, Os de Fantôme Maho Firefoux,4
Chapeau de Crocodaille Dandi, Dent de Crocodaille,120, Plume de fesse du Kido,43, Rembourrage de Meupette,29, Ecaille de Chef Crocodaille,18, Tresse du Poolay,6, Touffe rousse du Flib,6, Queue emplumée du Rasboul Majeur,1, Pierre précieuse du Kimbo,1
Chapeau de la Gamine Zoth, Etoffe Zoth,75, Etoffe de Ouassingue,23, Mouchoir de la Gamine Zoth,13, Coco du Bitouf des plaines,6, Kristalite,5, Ecorce de Fécorce,3, Bec du Kido,3, Peau du Rasboul Majeur,1
Chapignon, Ecorce de Champaknyde,24, Trompe de la Tromperelle,20, Etoffe de Fantôme Yokai Firefoux,18, Langue du Champodonte,18, Os de Fantôme Pandule,15, Lamelle de Champbis,15, Crinière fleurie,8, Peau de Skeunk,1
Coiffe Cérémoniale du Seigneur des Rats, Poil de Kanigrou,200, Patte de Prespic,50, Poil de Chaman d'Egoutant,6, Plume Graisseuse du Tofu Ventripotent,5, Peau de Sphincter Cell,2, Etoffe de Sphincter Cell,1, Coiffe du Rat Blanc,1, Masque du Rat Noir,1
Coiffe de Bill de Grobe, Cubitus de Momie Koalak,97, Etoffe de Fantôme Pandore,26, Etoffe du Fauchalak,24, Crâne de Chef Crocodaille,23, Queue emplumée du Rasboul Majeur,16, Peau de Bworker,15, Etoffe Fantôme du Péki Garou,6, Sulik,1
Coiffe du Chêne Mou, Champignon Luidegît,10, Racine du Chêne Mou,10, Ambre d'Abraknyde Sombre,10, Ecorce du Chêne Mou,10, Ambre du Chêne Mou,2, Abracaska Ancestral,1, Abracaska,1, Bourgeon du Chêne Mou,1
Coiffe du Disciple Zoth, Etoffe Zoth,89, Bractée de Chiendent,26, Graine de l'Abrakleur sombre,19, Rotule du Disciple Zoth,14, Ecorce de Nerbe,3, Talon d'achille de l'Abrakleur sombre,3, Kristalite,1, Sourcil du Rasboul majeur,1
Coiffe du Maître Zoth, Etoffe Zoth,115, Braguette du Maître Zoth,16, Jus de Ouassingue,6, Kristalite,5, Tourbe séchée de Tourbassingue,5, Coco du Bitouf aérien,4, Etoffe du Roissingue,1, Ambre du Tynril,1
Coiffe du Meulou, Poils du Meulou,10, Dents de Meulou,8, Scalp de Meulou,5, Scalp de Bwork Archer,5, Oeil de Meulou,1, Coiffe du Mulou,1, Etoffe du Meulou,1, Poil de Bworkette,1
Coiffe du Minotot, Poil de Péki,21, Plume de Tofu Royal,15, Poil de Skeunk,5, Etoffe de Fantôme Pandore,3, Etoffe du Wa Wabbit,3, Corne du Minotot,1, Minotokorno,1, Laine du Minotot,1
Coiffe du Tynril, Jus de Ouassingue,8, Etoffe de Meupette,7, Crinière fleurie,5, Pistil du Tynril,2, Ambre du Tynril,1, Ecorce du Tynril,1, Peau lacérée du Tynril,1, Rune Ga Pa,1
Corbacape Mastralis, Plume de Corbac,80, Plume de Tofu Maléfique,80, Poils de Black Tiwabbit,80, Poils du Milimulou,50, Teinture Magique Sombre,20, Tissu Sombre,10, Plume du Maître Corbac,10, Corbac Mort,8
Couronne du Tofu Royal, Plumes de Tofu,200, Plume de Buveur,50, Plume de Tofu Maléfique,10, Plume de Tofu Royal,10, Plume du Dernier Poolay,1, Aigue-Marine,1, Plume du Maître Corbac,1, Couronne Brisée du Tofu Royal,1
Couvre-chef corné de Qu'Tan, Sacrum magistral,36, Peau Malodorante de Démon,18, Scalp de Bwork Archer,16, Peau de Yokai Firefoux,12, Ongle Désincarné de Qu'Tan,6, Défense Maléfique,5, Etoffe de Sphincter Cell,3, Coiffe du Minotot,1
Dora Bora, Feuille de Fourbasse,100, Feuille de Kokoko,100, Fleur de Gloutovore,100, Peau de Trukikol,80, Tranche de Nodkoko,80, Trukikol Mort,10, Noix de Kokoko Traumatisée,5, Poils de Moon,4
Doro le Blak, Cloaque du Poolay,19, Corail Kouraçao,8, Pétale Kouraçao,7, Ecorce de Floribonde,5, Crinière fleurie,4, Mojo du Meulou,1, Corail Magistral,1, Peau lacérée du Tynril,1
Holoune, Poils de Léopardo,50, Poils de Kitsou Nae,34, Poils de Kitsou Nakwa,32, Plume de Corbac,20, Etoffe du Sanglier,12, Etoffe du Wabbit,9, Poils du Mulou,8, Etoffe de Fantôme Soryo Firefoux,1
Kanistère, Poil d'Ouginak,15, Poils de Léopardo,15, Plume du Kwak de Flamme,12, Poils de Kitsou Nae,10, Poils de Kitsou Nakwa,8, Etoffe de Kanigrou,3, Etoffe de Fantôme Léopardo,1, Etoffe de Pandule,1
Kaskargo, Bave du Kaskargo,59, Amygdales du Bitouf Sombre,22, Etoffe de Ouassingue,19, Plume de fesse du Kido,18, Foulard du Sparo,11, Coquille du Kaskargo,9, Jus de Ouassingue,4, Queue emplumée du Rasboul Majeur,1
Koloss, Poils de Léopardo,16, Poils de Pandikaze,12, Poils du Mulou,11, Poils de Kitsou Nere,6, Poils de Kitsou Nufeu,5, Poils de Yokai Firefoux,3, Etoffe de Soryo Firefoux,1, Etoffe de Fantôme Pandikaze,1
Krokop, Plume du Kwak de Flamme,15, Poils de Léopardo,12, Poils de Kitsou Nufeu,12, Poils du Mulou,8, Poils de Tanukouï San,4, Etoffe de Croc Gland,4, Etoffe de Fantôme Pandule,1, Etoffe de Fantôme Pandikaze,1
Krépite, Poils de Léopardo,20, Tissu Invisible,20, Etoffe de Sanglier des Plaines,15, Linceul,9, Poils de Maho Firefoux,4, Plume de Tofu Royal,1, Etoffe de Fantôme Tanukouï San,1, Poils de Moon,1
Le Kim, Poil de Péki,20, Etoffe de Fantôme Pandule,19, Touffe rousse du Flib,15, Perruque du Kimbo,15, Tresse du Poolay,10, Plume du Maître Corbac,8, Solomonk,1, Coiffe du Meulou,1
Le Kumokan, Peau de Drakoalak,24, Os de Fantôme Léopardo,24, Aigue-Marine,20, Oeil de Meulou,10, Epaulette du Dark Vlad,9, Pierre précieuse du Kimbo,8, Etoffe Fantôme du Péki Garou,6, Chapblopignon,1
Le Nahitse, Amygdales du Bitouf Sombre,34, Tissu Pourpre,28, Etoffe de Kanigrou,22, Jus de Ouassingue,8, Crinière fleurie,7, Grelot,2, Peau du Rasboul Majeur,1, Queue emplumée du Rasboul Majeur,1
Masque Vaudou Archer, Souche de l'Abrakleur clair,31, Etoffe de Ouassingue,29, Etoffe du Roissingue,2, Chaussette du Kimbo,1, Sourcil du Rasboul majeur,1, Masque Kanniboule,1, Pistil du Tynril,1, Poupée Vaudou Archer,1
Masque Vaudou Jav, Souche de l'Abrakleur clair,31, Etoffe de Ouassingue,29, Etoffe du Roissingue,2, Chaussette du Kimbo,1, Poupée Vaudou Jav,1, Pistil du Tynril,1, Sourcil du Rasboul majeur,1, Masque Kanniboule,1
Masque Vaudou Sarbak, Souche de l'Abrakleur clair,31, Etoffe de Ouassingue,29, Etoffe du Roissingue,2, Chaussette du Kimbo,1, Pistil du Tynril,1, Sourcil du Rasboul majeur,1, Masque Kanniboule,1, Poupée Vaudou Sarbak,1
Masque Vaudou Thierry, Souche de l'Abrakleur clair,31, Etoffe de Ouassingue,29, Etoffe du Roissingue,2, Pistil du Tynril,1, Poupée Vaudou Thierry,1, Sourcil du Rasboul majeur,1, Chaussette du Kimbo,1, Masque Kanniboule,1
Masque de l'Abrakleur clair, Souche de l'Abrakleur clair,69, Carpelle de Brouture,17, Calice de Fécorce,14, Noeud de l'Abrakleur clair,13, Duvet du Kilibriss,12, Ecorce de Fécorce,3, Coco du Bitouf aérien,2, Peau du Rasboul Majeur,1
Masque du Sergent Zoth, Etoffe Zoth,110, Sépale de Nerbe,42, Souche de l'Abrakleur clair,36, Ecusson du Sergent Zoth,14, Ecorce de Brouture,5, Ecorce de Fécorce,4, Kristalite,2, Pistil du Tynril,1
Ortiz, Poils de Kitsou Nere,12, Poils de Kitsou Nufeu,10, Etoffe du Prespic,6, Poils de Yokai Firefoux,3, Poils de Maho Firefoux,2, Etoffe de Fantôme Pandule,1, Poils de Pandore,1, Etoffe de Pandule,1
Ougalurette, Ecorce de Chiendent,16, Chanvre Euphorique,8, Trompe de la Tromperelle,7, Ecorce de Champaknyde,6, Epine d'Ougah,4, Toady,1, Kaskargo,1, Fragment d'Ougalurette,1
Ruskauffe, Rembourrage de Meupette,48, Duvet du Kilibriss,28, Touffe rousse du Flib,12, Barbe inexistante du Barbroussa,8, Saphir,5, Perruque du Kimbo,3, Etoffe du Roissingue,1, Etoffe de Gourlo le Terrible,1
Solomonk, Poils de Kitsou Nufeu,10, Poils de Tanukouï San,8, Poils de Grand Pa Wabbit,6, Poils de Pandore,2, Etoffe de Pandikaze,2, Poils de Maho Firefoux,1, Etoffe de Pandule,1, Etoffe de Fantôme Tanukouï San,1
Sulik, Poils de Moon,10, Etoffe de Pandore,6, Etoffe de Pandule,4, Etoffe de Yokai Firefoux,2, Etoffe de Soryo Firefoux,2, Etoffe de Maho Firefoux,2, Etoffe de Fantôme Léopardo,2, Etoffe de Fantôme Pandore,1
Voile d'encre, Etoffe de Ouassingue,30, Bave du Kaskargo,21, Jus de Ouassingue,17, Etoffe Zoth,12, Beignet de Greu-vette ****,6, Ventouse du Kralamoure géant,6, Kralamoure grillé ****,5, Encre du Kralamoure géant,1
Abracapa Ancestrale, Racine d'Abraknyde,150, Bois de Bambou Sombre,45, Ecorce d'Abraknyde Ancestral,3, Racine d'Abraknyde Ancestral,2, Abracape,1, Abracapa,1, Bourgeon de l'Abraknyde Ancestral,1,,
Abracaska Ancestral, Racine d'Abraknyde,120, Bourgeon d'Abraknyde Sombre,20, Ecorce d'Abraknyde Ancestral,3, Racine d'Abraknyde Ancestral,3, Racine d'Abraknyde Sombre,2, Abracaska,1, Ambre Ancestrale,1,,
Billréole, Fragment de cerveau poli,19, Plume de fesse du Kido,13, Tissu Invisible,12, Crinière fleurie,4, Touffe rousse du Flib,3, Etoffe du Rat Blanc,2, Sourcil du Rasboul majeur,2,,
Blémiche, Poils du Milimulou,16, Poils de Wo Wabbit,15, Poils de Maho Firefoux,4, Poils de Pandule,3, Plume du Kwak de Vent,3, Etoffe de Fantôme Maho Firefoux,1, Etoffe de Fantôme Pandikaze,1,,
Cape Aillé, Poil de Kanigrou,65, Etoffe de Ouassingue,20, Plume de fesse du Kido,10, Aile du Bitouf des plaines,10, Maillot de corps de Barbroussa,4, Foulard du Sparo,4, Etoffe de Gourlo le Terrible,1,,
Cape Aurale, Oreille de Kanigrou,65, Etoffe de Ouassingue,20, Plume de fesse du Kido,10, Aile du Bitouf des plaines,10, Foulard du Sparo,4, Maillot de corps de Barbroussa,4, Etoffe de Gourlo le Terrible,1,,
Cape Feudala, Artefact Pandawushu Feu,50, Poils de Pandikaze,10, Poils de Kitsou Nufeu,2, Poils de Kitsou Nakwa,2, Poils de Kitsou Nae,2, Poils de Kitsou Nere,2, Etoffe de Pandikaze,1,,
Cape Hadosse, Etoffe de Ouassingue,20, Oeil d'Ouginak,11, Aile du Bitouf des plaines,10, Plume de fesse du Kido,10, Foulard du Sparo,4, Maillot de corps de Barbroussa,4, Etoffe de Gourlo le Terrible,1,,
Cape Hitton, Etoffe de Ouassingue,20, Queue de scorbute,16, Aile du Bitouf des plaines,10, Plume de fesse du Kido,10, Foulard du Sparo,4, Maillot de corps de Barbroussa,4, Etoffe de Gourlo le Terrible,1,,
Cape Houte, Poils de Pandikaze,30, Poils de Kitsou Nufeu,20, Poils de Soryo Firefoux,12, Poils de Maho Firefoux,10, Etoffe de Pandikaze,5, Etoffe de Soryo Firefoux,1, Etoffe de Maho Firefoux,1,,
Cape Huchon, Ongle de Kanigrou,71, Etoffe de Ouassingue,20, Plume de fesse du Kido,10, Aile du Bitouf des plaines,10, Maillot de corps de Barbroussa,4, Foulard du Sparo,4, Etoffe de Gourlo le Terrible,1,,
Cape Hulco, Etoffe de Ouassingue,20, Plume de fesse du Kido,10, Aile du Bitouf des plaines,10, Oeil de Crabe,6, Maillot de corps de Barbroussa,4, Foulard du Sparo,4, Etoffe de Gourlo le Terrible,1,,
Cape Lyne, Etoffe de Ouassingue,20, Aile du Bitouf des plaines,10, Plume de fesse du Kido,10, Oeil de Kolérat,6, Maillot de corps de Barbroussa,4, Foulard du Sparo,4, Etoffe de Gourlo le Terrible,1,,
Cape Routh, Bandeau du Black Tiwabbit,24, Etoffe de Ouassingue,20, Plume de fesse du Kido,10, Aile du Bitouf des plaines,10, Maillot de corps de Barbroussa,4, Foulard du Sparo,4, Etoffe de Gourlo le Terrible,1,,
Cape Sulhit, Etoffe de Ouassingue,20, Plume de fesse du Kido,10, Aile du Bitouf des plaines,10, Foulard du Sparo,4, Maillot de corps de Barbroussa,4, Queue de Sanglier des Plaines,2, Etoffe de Gourlo le Terrible,1,,
Cape Wéra, Etoffe de Ouassingue,20, Aile du Bitouf des plaines,10, Plume de fesse du Kido,10, Museau de Kolérat,7, Foulard du Sparo,4, Maillot de corps de Barbroussa,4, Etoffe de Gourlo le Terrible,1,,
Cape Ytale, Etoffe de Ouassingue,20, Patte d'Arakne Majeure,15, Aile du Bitouf des plaines,10, Plume de fesse du Kido,10, Foulard du Sparo,4, Maillot de corps de Barbroussa,4, Etoffe de Gourlo le Terrible,1,,
Cape d'Elya Wood, Poils du Milimulou,10, Poils de Barbe du Grand Pa Wabbit,10, Poils de Barbe du Bwork Mage,10, Laine de Bouftou Royal,2, Poils du Minotoror,1, Poils du Meulou,1, Etoffe du Meulou,1,,
Cape de Farle, Laine du Chef de Guerre Bouftou,30, Poils de Barbe du Bwork Mage,18, Etoffe de Croc Gland,9, Fibre de Lin,8, Etoffe de Kanigrou,8, Fibre de Chanvre,8, Etoffe du Prespic,4,,
Cape de Shika, Poil de Kanigrou,50, Fibre de Chanvre,8, Fibre de Lin,8, Poils de Koalak Indigo,6, Poils de Koalak Griotte,6, Etoffe de Kanigrou,5, Etoffe de Dok Alako,5,,
Cape de la Ouassingue, Etoffe de Ouassingue,82, Foulard du Sparo,12, Etoffe de Meupette,8, Jus de Ouassingue,7, Tourbe séchée de Tourbassingue,6, Faux menton du Bourbassingue,4, Cape du Mulou Fou,1,,
Cape du Dragon Cochon, Queue de Dragodinde Rousse Sauvage,25, Peau de Don Dorgan,18, Peau de Don Duss Ang,18, Queue de Koalak Sanguin,4, Défense de Dragon Cochon,1, Poil de Dragon Cochon,1, Queue de Dragon Cochon,1,,
Cape du Rat Blanc, Poil de Kanigrou,35, Poil d'Ouginak,30, Poil de Rat d'Egoutant,20, Poil de Sanglier des Plaines,10, Tissu Invisible,10, Etoffe du Rat Blanc,3, La Guenille,1,,
Cape du Rat Noir, Poil de Rat d'Egoutant,40, Poil de Kanigrou,35, Crocs de Rats,30, Oreille de Kanigrou,15, Colonne Vertébrale,10, Etoffe du Rat Noir,3, Poil de Chaman d'Egoutant,1,,
Casque du Craqueleur Légendaire, Silex,50, Pierre du Craqueleur,16, Rubis,8, Fragment de Pierre Pointue,5, Pierre du Craqueleur Légendaire,5, Agathe,2, Casque du Craqueleur,1,,
Chapeau Feudala, Artefact Pandawushu Feu,50, Peau de Kitsou Nufeu,12, Poils de Kitsou Nufeu,5, Peau de Pandikaze,5, Poils de Kitsou Nae,4, Saphir,1, Etoffe de Pandikaze,1,,
Chapeau du Mineur Sombre, Pince de Scorbute,13, Bougie du Mineur Sombre,8, Rutile,3, Pyrute,3, Laine du Trool Furieux,2, Bougie Magique du Mineur Sombre,1, Crinière de Trool,1,,
Coiffe de la Dragueuse, Pétale de Blop,100, Pétale de Tournesol Sauvage,100, Feuille de Bambouto,100, Dragocoiffe Blanche,1, Corne de Dragueuse,1, Dragocoiffe Dorée,1, Pétale Magique du Tournesol Affamé,1,,
Coiffe du Bimd'Oule, Poil de Renarbo,21, Etoffe de Dok Alako,18, Poils de Barbe du Warko Marron,5, Etoffe de Fantôme Pandule,2, Poils de Barbe du Warko Violet,2, Coiffe déchiquetée de Drakoalak,1, Poil de Bworkette,1,,
Coiffe du Dragon Cochon, Os de Pékeualak,31, Crâne de chafer,25, Cubitus de Momie Koalak,12, Os de Mama Koalak,4, Fémur de Koalak Farouche,3, Crâne de Chef Crocodaille,1, Crâne du Dragon Cochon,1,,
Coiffe du Gaddie, Poils de souris,20, Poils de Léopardo,15, Poils de Kitsou Nae,15, Poils de Pandikaze,9, Poils de Pandule,3, Etoffe de Fantôme Pandule,1, Etoffe de Soryo Firefoux,1,,
Coiffe du Rat Blanc, Crocs de Rats,25, Poil de Rat d'Egoutant,20, Etoffe de Kanigrou,15, Poil de Kanigrou,12, Etoffe du Rat Blanc,2, Poil de Chaman d'Egoutant,1, Champo,1,,
Craquelocape Légendaire, Pierre du Craqueleur,30, Fragment de Pierre Polie,10, Rubis,10, Fragment de Pierre Pointue,3, Pierre du Craqueleur Légendaire,3, Agathe,2, Craquelocape,1,,
Dragocoiffe noire, Coquille de Dragoeuf Noir,40, Oeuf de Dragoeuf Noir,30, Peau de serpentin,30, Laine du Chef de Guerre Bouftou,30, Kobalite,10, Emeraude,3, Saphir,3,,
Farlacoiffe, Poil de Kanigrou,15, Poils de Grand Pa Wabbit,5, Etoffe du Prespic,5, Etoffe de Kanigrou,4, Lin Tempête,2, Avoine Aurifère,2, Seigle Résistant,2,,
Kabuto, Ecorce d'Abraknyde,100, Ecorce de Fourbasse,40, Antennes du Scarafeuille Noir,21, Etoffe de Dok Alako,20, Bois de Kaliptus,15, Ambre de Bambouto Sacré,8, Etoffe de Fantôme Pandule,2,,
La Bertheuze, Poils de Black Tiwabbit,16, Plume du Kwak de Glace,10, Poils de Léopardo,8, Poil d'Ouginak,8, Poils de Kitsou Nae,5, Poils de Pandikaze,3, Etoffe de Yokai Firefoux,1,,
La Brouteuse, Tige de Pissenlit Diabolique,20, Edelweiss,20, Peau de Larve Verte,20, Pétale de Blop,10, Teinture Magique Verdâtre,10, Fleur de Gloutovore,2, Chanvre Euphorique,1,,
Masque de Mulou d'Halouine, Griffe du Mulou,60, Canine du Mulou,60, Poils du Mulou,60, Orbe Fantosmyque,50, Citrouille,20, Mojo du Mulou,5, Testicules Magiques du Mulou,1,,
Masque de l'Abrakleur sombre, Graine de l'Abrakleur sombre,43, Fragment de cerveau poli,16, Maillot de corps de Barbroussa,16, Talon d'achille de l'Abrakleur sombre,9, Rembourrage de Meupette,8, Ecorce de Floribonde,3, Etoffe de Gourlo le Terrible,1,,
Masque du Rat Noir, Poil de Rat d'Egoutant,30, Main de Boo,20, Oeil de Kolérat,20, Poils de souris,20, Sève d'Abraknyde,10, Etoffe du Rat Noir,4, Poil de Chaman d'Egoutant,2,,
Phalène, Sourcil de Moskito,500, Ailes de Moskito,500, Poils de Kitsou Nere,16, Poils de Tanukouï San,9, Etoffe de Pandikaze,4, Etoffe de Pandore,1, Etoffe de Fantôme Pandule,1,,
Puissante Cape Fulgurante, Etoffe Zoth,150, Kristalite,50, Etoffe de Ouassingue,50, Tissu Pourpre,10, Tissu Invisible,10, Etoffe du Roissingue,3, Tissu Sanguin,1,,
Shikacoiffe, Fleur de Kaliptus,50, Poils de Koalak Indigo,12, Poils de Koalak Reinette,12, Avoine Magique,4, Poils de Koalak Forestier,3, Lin Tempête,1, Avoine Aurifère,1,,
Boufcoiffe Royale, Laine de Bouftou,400, Laine de Boufton Blanc,300, Laine du Chef de Guerre Bouftou,200, Cervelle de Chef de Guerre Bouftou,1, Coiffe du Bouftou,1, Laine de Bouftou Royal,1,,,,
Cape Aerdala, Artefact Pandawushu Air,50, Poils de Pandule,10, Poils de Pandikaze,5, Poils de Kitsou Nakwa,2, Etoffe de Pandikaze,1, Poils de Kitsou Nere,1,,,,
Cape Bouffante Royale, Laine de Bouftou,500, Laine de Boufton Noir,300, Laine de Boufton Blanc,300, Laine du Chef de Guerre Bouftou,200, Cape Bouffante,1, Laine de Bouftou Royal,1,,,,
Cape Flotteuse, Carapace de Scarafeuille Bleu,10, Ailes de Scarafeuille bleu,10, Plume du Kwak de Vent,5, Ficelle en Lin,5, Plume du Kwak de Glace,5, Teinture Magique Bleutée,1,,,,
Cape Hôte, Grand Anneau de Sagesse,10, Teinture Magique Orange,10, Poils du Mulou,8, Mesure de sel,2, Cocon de Ver à Soie,1, Poils Darits,1,,,,
Cape Ouginak, Poil d'Ouginak,30, Babines d'Ouginak,30, Bandelettes,5, Etoffe de Croc Gland,1, Tissu Sombre,1, Queue de Chef de Guerre Bouftou,1,,,,
Cape Sanguine, Ailes de Scarafeuille rouge,10, Poils de Crocs Glands,10, Scalp de Bwork Archer,1, Tissu Sanguin,1, Teinture Magique de Rougeur,1, Scalp de Milimulou,1,,,,
Cape Terrdala, Artefact Pandawushu Terre,50, Feuille de Bulbuisson,15, Poils de Pandule,8, Poils de Pandikaze,5, Poils du Sanglier,5, Etoffe de Pandule,1,,,,
Cape de Jules Yanos, Poils de Wo Wabbit,4, Poils du Meulou,1, Laine du Trool Furieux,1, Etoffe du Mulou,1, Laine du Chef de Guerre Bouftou,1, Laine de Bouftou Royal,1,,,,
Cape de la Meupette, Pollen de Blop,15, Etoffe de Ouassingue,8, Foulard du Sparo,6, Corail Morito,3, Pétale Morito,2, Etoffe Corailleuse,1,,,,
Cape du Kitsou, Peau de Kitsou Nae,1, Poils de Kitsou Nere,1, Peau de Kitsou Nakwa,1, Peau de Kitsou Nere,1, Poils de Kitsou Nakwa,1, Poils de Kitsou Nae,1,,,,
Cape du Koalak, Poils de Koalak Reinette,4, Poils de Koalak Indigo,3, Etoffe de Dok Alako,3, Poils de Koalak Griotte,2, Poils de Koalak Koko,2, Peau de Koalak Immature,2,,,,
Capodindo, Pic de Dragodinde,20, Aile de Dragodinde Rousse Sauvage,3, Pic de Dragodinde Rousse Sauvage,2, Aile de Dragodinde,2, Queue de Dragodinde,1, Queue de Dragodinde Rousse Sauvage,1,,,,
Caracape, Carapace Bleue Vide,150, Carapace Jaune Vide,150, Carapace Rouge Vide,150, Carapace Verte Vide,150, Kokopaille,150, Kokolait,1,,,,
Caracoiffe, Kokopaille,200, Carapace Verte Vide,150, Carapace Rouge Vide,150, Carapace Jaune Vide,150, Carapace Bleue Vide,150, Pot de Gloutovore,20,,,,
Casque du Chafer, Cuir du Cochon de Lait,20, Cuir de Porkass,20, Kriptonite,3, Kobalite,2, Crête de Porkass,1, Casque Cassé du Chafer,1,,,,
